title,link,en,de,fr,es,nl,ko,ceb,ar,sv,ru,hi,tr,zh,af
The Red Cape,https://en.wikipedia.org/wiki/The_Red_Cape,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Claude Monet,https://en.wikipedia.org/wiki/Claude_Monet,1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Burning of the Houses of Lords and Commons,https://en.wikipedia.org/wiki/The_Burning_of_the_Houses_of_Lords_and_Commons,0,0,1,1,1,1,1,1,1,1,0,1,1,1
J. M. W. Turner,https://en.wikipedia.org/wiki/J._M._W._Turner,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Portrait of Adeline Ravoux,https://en.wikipedia.org/wiki/Portrait_of_Adeline_Ravoux,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Vincent van Gogh,https://en.wikipedia.org/wiki/Vincent_van_Gogh,1,0,1,1,1,1,1,1,1,1,1,1,1,1
The Large Plane Trees,https://en.wikipedia.org/wiki/The_Large_Plane_Trees,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Annunciation (van Eyck, Washington)","https://en.wikipedia.org/wiki/Annunciation_(van_Eyck,_Washington)",0,0,0,1,0,1,1,1,1,1,1,1,1,1
Jan van Eyck,https://en.wikipedia.org/wiki/Jan_van_Eyck,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Laocoön (El Greco),https://en.wikipedia.org/wiki/Laoco%C3%B6n_(El_Greco),1,0,1,1,1,1,1,1,1,1,0,1,1,1
El Greco,https://en.wikipedia.org/wiki/El_Greco,1,0,1,1,1,1,1,1,0,1,0,1,1,0
Landscape with the Good Samaritan,https://en.wikipedia.org/wiki/Landscape_with_the_Good_Samaritan,1,0,1,1,1,1,1,1,0,1,0,1,1,0
Rembrandt,https://en.wikipedia.org/wiki/Rembrandt,1,0,1,1,1,1,1,1,1,1,1,1,1,1
The Inquisition Tribunal,https://en.wikipedia.org/wiki/The_Inquisition_Tribunal,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Francisco Goya,https://en.wikipedia.org/wiki/Francisco_Goya,1,0,1,0,1,1,1,1,1,1,0,1,1,1
The Maiden (Klimt),https://en.wikipedia.org/wiki/The_Maiden_(Klimt),1,0,1,1,1,1,1,1,1,1,0,1,1,1
Gustav Klimt,https://en.wikipedia.org/wiki/Gustav_Klimt,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"David with the Head of Goliath (Caravaggio, Vienna)","https://en.wikipedia.org/wiki/David_with_the_Head_of_Goliath_(Caravaggio,_Vienna)",1,0,1,1,1,1,1,1,1,1,1,1,1,1
Caravaggio,https://en.wikipedia.org/wiki/Caravaggio,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Self-Portrait at 6th Wedding Anniversary,https://en.wikipedia.org/wiki/Self-Portrait_at_6th_Wedding_Anniversary,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Paula Modersohn-Becker,https://en.wikipedia.org/wiki/Paula_Modersohn-Becker,1,0,1,1,0,1,1,1,1,1,1,0,1,1
Blue Horse I,https://en.wikipedia.org/wiki/Blue_Horse_I,1,1,1,1,0,1,1,1,1,1,1,0,1,1
Franz Marc,https://en.wikipedia.org/wiki/Franz_Marc,1,0,1,1,1,1,1,1,1,1,0,1,0,1
The Architect's Dream,https://en.wikipedia.org/wiki/The_Architect%27s_Dream,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Thomas Cole,https://en.wikipedia.org/wiki/Thomas_Cole,1,0,1,1,0,1,1,1,1,1,0,1,1,1
At the Seashore,https://en.wikipedia.org/wiki/At_the_Seashore,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Anna Bilińska-Bohdanowicz,https://en.wikipedia.org/wiki/Anna_Bili%C5%84ska-Bohdanowicz,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Albert Bettannier,https://en.wikipedia.org/wiki/Albert_Bettannier,0,0,1,1,0,1,1,1,1,1,0,0,1,1
Laughing Cavalier,https://en.wikipedia.org/wiki/Laughing_Cavalier,1,0,1,0,1,1,1,1,1,1,0,0,1,1
Frans Hals,https://en.wikipedia.org/wiki/Frans_Hals,1,0,1,1,1,1,1,1,0,1,0,1,1,1
The Young Sabot Maker,https://en.wikipedia.org/wiki/The_Young_Sabot_Maker,1,0,1,1,1,1,1,1,0,1,0,1,1,1
Henry Ossawa Tanner,https://en.wikipedia.org/wiki/Henry_Ossawa_Tanner,1,0,1,1,1,1,1,1,0,1,0,1,1,1
La Fuensanta,https://en.wikipedia.org/wiki/La_Fuensanta,1,0,1,1,1,1,1,1,0,1,0,1,1,1
Julio Romero de Torres,https://en.wikipedia.org/wiki/Julio_Romero_de_Torres,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Officer and Laughing Girl,https://en.wikipedia.org/wiki/Officer_and_Laughing_Girl,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Johannes Vermeer,https://en.wikipedia.org/wiki/Johannes_Vermeer,1,0,1,1,1,1,1,1,1,1,0,1,1,1
George Washington (Trumbull),https://en.wikipedia.org/wiki/George_Washington_(Trumbull),1,0,1,1,1,1,1,1,1,1,0,1,1,1
John Trumbull,https://en.wikipedia.org/wiki/John_Trumbull,1,0,1,1,1,1,1,1,0,1,0,1,1,1
The Sleeping Gypsy,https://en.wikipedia.org/wiki/The_Sleeping_Gypsy,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Henri Rousseau,https://en.wikipedia.org/wiki/Henri_Rousseau,1,0,1,1,1,1,1,1,1,1,0,1,1,1
A Negress,https://en.wikipedia.org/wiki/A_Negress,1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Interior of the Palm House on the Pfaueninsel Near Potsdam,https://en.wikipedia.org/wiki/The_Interior_of_the_Palm_House_on_the_Pfaueninsel_Near_Potsdam,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Carl Blechen,https://en.wikipedia.org/wiki/Carl_Blechen,0,0,1,0,0,1,1,1,0,1,0,1,1,1
Street Musicians at the Door,https://en.wikipedia.org/wiki/Street_Musicians_at_the_Door,0,0,1,0,0,1,1,1,0,1,0,1,1,1
Jacob Ochtervelt,https://en.wikipedia.org/wiki/Jacob_Ochtervelt,0,0,1,0,0,1,1,1,0,1,0,1,1,1
User:TSP,https://en.wikipedia.org/wiki/User:TSP,0,0,1,0,0,1,1,1,0,1,0,1,1,1
Hope II,https://en.wikipedia.org/wiki/Hope_II,0,0,1,0,0,1,1,1,0,1,0,1,1,1
Portrait of Wally,https://en.wikipedia.org/wiki/Portrait_of_Wally,1,0,1,0,0,1,1,1,0,1,0,1,1,1
Egon Schiele,https://en.wikipedia.org/wiki/Egon_Schiele,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Devi Mahatmya,https://en.wikipedia.org/wiki/Devi_Mahatmya,0,0,1,1,0,1,1,1,1,1,0,1,0,1
Three Brothers (jewel),https://en.wikipedia.org/wiki/Three_Brothers_(jewel),1,0,1,1,0,1,1,1,1,1,0,1,0,1
User:Arcaist,https://en.wikipedia.org/wiki/User:Arcaist,1,0,1,1,0,1,1,1,1,1,0,1,0,1
The Skating Minister,https://en.wikipedia.org/wiki/The_Skating_Minister,1,1,1,1,0,1,1,1,1,1,0,1,1,1
Henry Raeburn,https://en.wikipedia.org/wiki/Henry_Raeburn,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Saint Anne (wall painting),https://en.wikipedia.org/wiki/Saint_Anne_(wall_painting),1,0,1,1,0,1,1,1,0,1,0,1,1,1
"Le Boulevard de Montmartre, Matinée de Printemps","https://en.wikipedia.org/wiki/Le_Boulevard_de_Montmartre,_Matin%C3%A9e_de_Printemps",1,0,1,1,0,1,1,1,0,1,0,1,1,1
Camille Pissarro,https://en.wikipedia.org/wiki/Camille_Pissarro,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Stańczyk (painting),https://en.wikipedia.org/wiki/Sta%C5%84czyk_(painting),1,0,1,1,1,1,1,1,1,1,0,1,1,1
Jan Matejko,https://en.wikipedia.org/wiki/Jan_Matejko,1,0,1,1,1,0,1,1,0,1,0,1,1,1
Jewess with Oranges,https://en.wikipedia.org/wiki/Jewess_with_Oranges,1,0,1,1,1,0,1,1,0,1,0,1,1,1
Aleksander Gierymski,https://en.wikipedia.org/wiki/Aleksander_Gierymski,1,0,1,1,1,0,1,1,0,1,0,1,1,1
The Goldfinch (painting),https://en.wikipedia.org/wiki/The_Goldfinch_(painting),1,1,1,1,1,1,1,1,0,1,0,1,1,1
Carel Fabritius,https://en.wikipedia.org/wiki/Carel_Fabritius,1,0,1,1,1,1,1,1,0,1,0,1,1,1
Christ's Entry Into Brussels in 1889,https://en.wikipedia.org/wiki/Christ%27s_Entry_Into_Brussels_in_1889,1,0,1,1,1,1,1,1,0,1,0,1,1,1
James Ensor,https://en.wikipedia.org/wiki/James_Ensor,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Midvinterblot,https://en.wikipedia.org/wiki/Midvinterblot,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Carl Larsson,https://en.wikipedia.org/wiki/Carl_Larsson,1,0,1,1,0,0,1,1,1,1,0,1,1,1
User:W.carter,https://en.wikipedia.org/wiki/User:W.carter,0,0,1,1,0,0,1,1,1,1,0,1,1,1
Royal Danish Academy of Sciences and Letters,https://en.wikipedia.org/wiki/Royal_Danish_Academy_of_Sciences_and_Letters,1,1,1,0,0,0,1,1,0,1,0,1,0,1
Peder Severin Krøyer,https://en.wikipedia.org/wiki/Peder_Severin_Kr%C3%B8yer,1,0,1,1,0,0,1,1,1,1,0,1,0,1
Equestrian Portrait of Cornelis and Michiel Pompe van Meerdervoort with Their Tutor and Coachman,https://en.wikipedia.org/wiki/Equestrian_Portrait_of_Cornelis_and_Michiel_Pompe_van_Meerdervoort_with_Their_Tutor_and_Coachman,1,0,1,1,0,0,1,1,1,1,0,1,0,1
Aelbert Cuyp,https://en.wikipedia.org/wiki/Aelbert_Cuyp,1,0,1,1,1,0,1,1,0,1,0,1,0,1
House in Provence,https://en.wikipedia.org/wiki/House_in_Provence,1,0,1,1,1,0,1,1,0,1,0,1,0,1
Paul Cézanne,https://en.wikipedia.org/wiki/Paul_C%C3%A9zanne,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Eunice Pinney,https://en.wikipedia.org/wiki/Eunice_Pinney,0,0,1,1,1,1,1,1,1,1,0,1,1,1
The Bathers (Cézanne),https://en.wikipedia.org/wiki/The_Bathers_(C%C3%A9zanne),1,0,1,1,0,1,1,1,1,1,0,1,1,1
"Golden Summer, Eaglemont","https://en.wikipedia.org/wiki/Golden_Summer,_Eaglemont",1,0,1,1,0,1,1,1,1,1,0,1,1,1
Arthur Streeton,https://en.wikipedia.org/wiki/Arthur_Streeton,1,0,1,1,0,1,1,1,1,1,0,1,1,1
August Friedrich Schenck,https://en.wikipedia.org/wiki/August_Friedrich_Schenck,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Bridal Procession on the Hardangerfjord,https://en.wikipedia.org/wiki/Bridal_Procession_on_the_Hardangerfjord,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Hans Gude,https://en.wikipedia.org/wiki/Hans_Gude,1,0,1,0,1,1,1,1,0,1,0,1,1,1
Adolph Tidemand,https://en.wikipedia.org/wiki/Adolph_Tidemand,1,0,1,0,1,1,1,1,0,1,0,1,1,1
A Philosopher Lecturing on the Orrery,https://en.wikipedia.org/wiki/A_Philosopher_Lecturing_on_the_Orrery,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Joseph Wright of Derby,https://en.wikipedia.org/wiki/Joseph_Wright_of_Derby,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Vincent van Gogh (Russell painting),https://en.wikipedia.org/wiki/Vincent_van_Gogh_(Russell_painting),1,0,1,1,0,1,1,1,0,1,0,1,1,1
John Russell (Australian painter),https://en.wikipedia.org/wiki/John_Russell_(Australian_painter),1,0,1,1,0,1,1,1,0,1,0,1,1,1
Lucca Madonna,https://en.wikipedia.org/wiki/Lucca_Madonna,0,1,1,0,1,1,1,1,0,1,0,1,1,1
Catharina Questiers,https://en.wikipedia.org/wiki/Catharina_Questiers,0,1,1,0,0,1,1,1,0,1,0,1,1,1
Adriaen van Ostade,https://en.wikipedia.org/wiki/Adriaen_van_Ostade,0,0,1,1,1,0,1,1,0,1,0,1,1,1
The Child's Bath,https://en.wikipedia.org/wiki/The_Child%27s_Bath,1,0,1,1,1,0,1,1,1,1,0,1,1,1
Mary Cassatt,https://en.wikipedia.org/wiki/Mary_Cassatt,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Emily Carr,https://en.wikipedia.org/wiki/Emily_Carr,1,0,1,1,0,1,1,1,1,1,1,1,1,1
"Still Life with Cheeses, Almonds and Pretzels","https://en.wikipedia.org/wiki/Still_Life_with_Cheeses,_Almonds_and_Pretzels",1,0,1,1,1,1,1,1,1,1,1,1,1,1
Clara Peeters,https://en.wikipedia.org/wiki/Clara_Peeters,0,0,1,1,1,1,1,1,1,1,1,1,1,1
The Immaculate Conception (Tiepolo),https://en.wikipedia.org/wiki/The_Immaculate_Conception_(Tiepolo),1,0,1,1,1,1,1,1,1,1,1,1,1,1
Giovanni Battista Tiepolo,https://en.wikipedia.org/wiki/Giovanni_Battista_Tiepolo,1,0,1,1,0,1,1,1,0,1,1,1,0,1
The Storm on the Sea of Galilee,https://en.wikipedia.org/wiki/The_Storm_on_the_Sea_of_Galilee,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Vision of St. John on Patmos,https://en.wikipedia.org/wiki/Vision_of_St._John_on_Patmos,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Antonio da Correggio,https://en.wikipedia.org/wiki/Antonio_da_Correggio,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Lansdowne portrait of George Washington,https://en.wikipedia.org/wiki/Lansdowne_portrait_of_George_Washington,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gilbert Stuart,https://en.wikipedia.org/wiki/Gilbert_Stuart,1,0,1,1,1,0,1,1,0,1,1,1,1,1
The Accolade (Leighton),https://en.wikipedia.org/wiki/The_Accolade_(Leighton),1,0,1,1,0,0,1,1,1,1,1,1,1,1
Edmund Leighton,https://en.wikipedia.org/wiki/Edmund_Leighton,1,0,1,1,0,0,1,1,1,1,1,1,1,1
Charles IV of Spain and His Family,https://en.wikipedia.org/wiki/Charles_IV_of_Spain_and_His_Family,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"Self-Portrait (Dürer, Madrid)","https://en.wikipedia.org/wiki/Self-Portrait_(D%C3%BCrer,_Madrid)",1,1,1,1,0,1,1,1,1,1,1,1,1,1
Albrecht Dürer,https://en.wikipedia.org/wiki/Albrecht_D%C3%BCrer,1,0,1,1,1,1,1,1,1,1,0,0,1,1
Equestrian Portrait of Charles V,https://en.wikipedia.org/wiki/Equestrian_Portrait_of_Charles_V,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Titian,https://en.wikipedia.org/wiki/Titian,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Brøndums Hotel,https://en.wikipedia.org/wiki/Br%C3%B8ndums_Hotel,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Anna Palm de Rosa,https://en.wikipedia.org/wiki/Anna_Palm_de_Rosa,0,0,1,1,0,1,1,1,1,1,0,1,1,1
Portrait of a Cardinal (Raphael),https://en.wikipedia.org/wiki/Portrait_of_a_Cardinal_(Raphael),1,0,1,1,0,1,1,1,1,1,0,1,1,1
Raphael,https://en.wikipedia.org/wiki/Raphael,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Portrait of Cardinal Niccolò Albergati,https://en.wikipedia.org/wiki/Portrait_of_Cardinal_Niccol%C3%B2_Albergati,1,0,1,1,1,1,1,1,1,1,0,1,1,1
"Venus and Adonis (Veronese, Madrid)","https://en.wikipedia.org/wiki/Venus_and_Adonis_(Veronese,_Madrid)",1,0,1,1,1,1,1,1,1,1,0,1,1,1
Paolo Veronese,https://en.wikipedia.org/wiki/Paolo_Veronese,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Tobias and the Angel (Filippino Lippi),https://en.wikipedia.org/wiki/Tobias_and_the_Angel_(Filippino_Lippi),1,0,1,1,0,1,1,1,0,1,0,1,1,1
Filippino Lippi,https://en.wikipedia.org/wiki/Filippino_Lippi,1,0,1,1,1,1,1,1,1,1,0,1,0,1
The Crucifixion of St Julia,https://en.wikipedia.org/wiki/The_Crucifixion_of_St_Julia,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Hieronymus Bosch,https://en.wikipedia.org/wiki/Hieronymus_Bosch,1,0,1,0,1,1,1,1,1,1,0,1,1,1
Les Grandes Baigneuses (Renoir),https://en.wikipedia.org/wiki/Les_Grandes_Baigneuses_(Renoir),1,0,1,1,1,1,1,1,1,1,0,1,1,1
Pierre-Auguste Renoir,https://en.wikipedia.org/wiki/Pierre-Auguste_Renoir,1,0,1,1,1,1,1,1,1,1,0,1,1,1
View from Stalheim,https://en.wikipedia.org/wiki/View_from_Stalheim,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Johan Christian Dahl,https://en.wikipedia.org/wiki/Johan_Christian_Dahl,1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Fiancée of Belus,https://en.wikipedia.org/wiki/The_Fianc%C3%A9e_of_Belus,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Henri-Paul Motte,https://en.wikipedia.org/wiki/Henri-Paul_Motte,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Charles Marion Russell,https://en.wikipedia.org/wiki/Charles_Marion_Russell,1,0,1,1,1,1,1,1,0,1,0,0,1,1
"Among the Sierra Nevada, California","https://en.wikipedia.org/wiki/Among_the_Sierra_Nevada,_California",1,0,1,1,1,1,1,1,0,1,0,0,0,1
Albert Bierstadt,https://en.wikipedia.org/wiki/Albert_Bierstadt,1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Vision of the Blessed Hermann Joseph,https://en.wikipedia.org/wiki/The_Vision_of_the_Blessed_Hermann_Joseph,0,0,1,1,1,1,1,1,1,1,0,1,1,1
Anthony van Dyck,https://en.wikipedia.org/wiki/Anthony_van_Dyck,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Gerard van Honthorst,https://en.wikipedia.org/wiki/Gerard_van_Honthorst,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Landscape near Arles,https://en.wikipedia.org/wiki/Landscape_near_Arles,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Paul Gauguin,https://en.wikipedia.org/wiki/Paul_Gauguin,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Arii Matamoe,https://en.wikipedia.org/wiki/Arii_Matamoe,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Martin van Meytens,https://en.wikipedia.org/wiki/Martin_van_Meytens,1,0,1,0,1,1,1,1,1,1,0,1,1,1
Madonna del cardellino,https://en.wikipedia.org/wiki/Madonna_del_cardellino,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Portrait of Chaliapin,https://en.wikipedia.org/wiki/Portrait_of_Chaliapin,0,1,1,1,1,1,1,1,1,1,0,1,1,1
Boris Kustodiev,https://en.wikipedia.org/wiki/Boris_Kustodiev,0,0,1,1,0,1,1,1,0,1,0,1,1,1
A Meat Stall with the Holy Family Giving Alms,https://en.wikipedia.org/wiki/A_Meat_Stall_with_the_Holy_Family_Giving_Alms,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Pieter Aertsen,https://en.wikipedia.org/wiki/Pieter_Aertsen,0,0,1,0,1,1,1,1,0,1,0,0,1,1
Melun Diptych,https://en.wikipedia.org/wiki/Melun_Diptych,0,0,1,1,0,1,1,1,0,1,0,0,1,1
Jean Fouquet,https://en.wikipedia.org/wiki/Jean_Fouquet,0,0,1,1,0,0,1,1,1,1,0,1,1,1
My Wife's Lovers,https://en.wikipedia.org/wiki/My_Wife%27s_Lovers,1,0,1,1,0,0,1,1,1,1,0,1,1,1
The Tortoise Trainer,https://en.wikipedia.org/wiki/The_Tortoise_Trainer,1,1,1,0,0,0,1,1,1,1,0,1,1,1
Osman Hamdi Bey,https://en.wikipedia.org/wiki/Osman_Hamdi_Bey,1,0,1,1,0,0,1,1,0,1,0,1,0,1
The Origin of the Milky Way (Rubens),https://en.wikipedia.org/wiki/The_Origin_of_the_Milky_Way_(Rubens),1,0,1,1,0,0,1,1,0,1,0,1,0,1
Peter Paul Rubens,https://en.wikipedia.org/wiki/Peter_Paul_Rubens,1,0,1,1,1,1,1,1,1,1,0,1,1,1
St. Jerome in His Study (Antonello da Messina),https://en.wikipedia.org/wiki/St._Jerome_in_His_Study_(Antonello_da_Messina),1,1,1,1,0,1,1,1,1,1,0,1,1,1
Antonello da Messina,https://en.wikipedia.org/wiki/Antonello_da_Messina,1,0,1,0,0,1,1,1,0,1,0,0,1,1
Venus with a Mirror,https://en.wikipedia.org/wiki/Venus_with_a_Mirror,1,1,1,1,0,1,1,1,0,1,0,0,1,1
A Boyar Wedding Feast,https://en.wikipedia.org/wiki/A_Boyar_Wedding_Feast,1,1,1,1,0,1,1,1,0,1,0,0,1,1
Konstantin Makovsky,https://en.wikipedia.org/wiki/Konstantin_Makovsky,1,0,1,1,0,1,1,1,0,1,0,1,1,1
The Stonemason's Yard,https://en.wikipedia.org/wiki/The_Stonemason%27s_Yard,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Canaletto,https://en.wikipedia.org/wiki/Canaletto,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Bucentaur,https://en.wikipedia.org/wiki/Bucentaur,0,0,0,0,0,1,1,0,0,0,0,1,1,1
Bonaparte Crossing the Alps,https://en.wikipedia.org/wiki/Bonaparte_Crossing_the_Alps,1,0,1,1,0,1,1,0,0,1,0,1,1,1
Paul Delaroche,https://en.wikipedia.org/wiki/Paul_Delaroche,1,0,1,0,1,1,1,1,0,1,0,1,1,1
The Lovers (Abbasi),https://en.wikipedia.org/wiki/The_Lovers_(Abbasi),1,0,1,0,1,1,1,1,0,1,0,1,1,1
Reza Abbasi,https://en.wikipedia.org/wiki/Reza_Abbasi,1,0,1,0,0,1,1,1,1,1,0,0,1,1
Allegory of Prudence,https://en.wikipedia.org/wiki/Allegory_of_Prudence,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Reginald Gray (artist),https://en.wikipedia.org/wiki/Reginald_Gray_(artist),1,0,1,1,0,1,1,1,1,1,0,1,1,1
John the Baptist (Caravaggio),https://en.wikipedia.org/wiki/John_the_Baptist_(Caravaggio),1,0,1,0,0,1,1,1,1,1,0,1,1,1
Portrait of the Duke of Wellington,https://en.wikipedia.org/wiki/Portrait_of_the_Duke_of_Wellington,1,0,1,0,0,1,1,1,1,1,0,1,1,1
User:Hohum,https://en.wikipedia.org/wiki/User:Hohum,0,0,1,0,0,1,1,1,1,1,0,1,1,1
Hunter's Home,https://en.wikipedia.org/wiki/Hunter%27s_Home,1,0,1,0,0,1,1,1,1,1,0,1,1,1
nl:Henry Voordecker,https://en.wikipedia.orghttps://nl.wikipedia.org/wiki/Henry_Voordecker,-1,0,1,0,0,1,1,1,1,1,0,1,1,1
Head of Christ (Correggio),https://en.wikipedia.org/wiki/Head_of_Christ_(Correggio),1,0,1,0,0,1,1,1,1,1,0,1,1,1
Portrait of Dürer's Father at 70,https://en.wikipedia.org/wiki/Portrait_of_D%C3%BCrer%27s_Father_at_70,0,0,1,0,0,1,1,1,1,1,0,1,1,1
"Portrait of a Man (Antonello da Messina, London)","https://en.wikipedia.org/wiki/Portrait_of_a_Man_(Antonello_da_Messina,_London)",1,0,1,1,0,1,1,1,1,1,0,1,1,1
Belshazzar's Feast (Rembrandt),https://en.wikipedia.org/wiki/Belshazzar%27s_Feast_(Rembrandt),1,1,1,1,1,1,1,1,1,1,0,1,0,1
Portrait of Madame Moitessier,https://en.wikipedia.org/wiki/Portrait_of_Madame_Moitessier,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Jean-Auguste-Dominique Ingres,https://en.wikipedia.org/wiki/Jean-Auguste-Dominique_Ingres,1,0,1,1,0,1,1,1,0,1,0,1,1,1
View of Delft,https://en.wikipedia.org/wiki/View_of_Delft,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Catherine Brass Yates,https://en.wikipedia.org/wiki/Catherine_Brass_Yates,1,1,1,1,1,1,1,1,1,1,0,1,1,1
The Punishment of Lust,https://en.wikipedia.org/wiki/The_Punishment_of_Lust,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Giovanni Segantini,https://en.wikipedia.org/wiki/Giovanni_Segantini,1,0,1,1,1,1,1,1,0,1,0,1,1,1
Arrival of the Hungarians,https://en.wikipedia.org/wiki/Arrival_of_the_Hungarians,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Árpád Feszty,https://en.wikipedia.org/wiki/%C3%81rp%C3%A1d_Feszty,0,0,1,1,1,1,1,1,1,1,0,1,1,1
User:Qorilla,https://en.wikipedia.org/wiki/User:Qorilla,0,0,1,1,1,1,1,1,1,1,0,1,1,1
The Courtyard of a House in Delft,https://en.wikipedia.org/wiki/The_Courtyard_of_a_House_in_Delft,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Pieter de Hooch,https://en.wikipedia.org/wiki/Pieter_de_Hooch,1,0,1,0,1,1,1,1,0,1,0,1,0,1
Anna Petersen,https://en.wikipedia.org/wiki/Anna_Petersen,1,0,1,0,1,1,1,1,1,0,0,1,0,1
Young Man with a Skull,https://en.wikipedia.org/wiki/Young_Man_with_a_Skull,1,0,1,1,1,1,1,1,1,0,0,1,0,1
Francesca da Rimini and Paolo Malatesta Appraised by Dante and Virgil,https://en.wikipedia.org/wiki/Francesca_da_Rimini_and_Paolo_Malatesta_Appraised_by_Dante_and_Virgil,1,0,1,1,1,1,1,1,1,0,0,1,0,1
Ary Scheffer,https://en.wikipedia.org/wiki/Ary_Scheffer,1,0,1,0,1,1,1,1,0,1,0,1,0,1
Portrait of Marchesa Brigida Spinola-Doria,https://en.wikipedia.org/wiki/Portrait_of_Marchesa_Brigida_Spinola-Doria,0,0,1,1,1,1,1,1,0,1,0,1,0,1
Boy Bitten by a Lizard,https://en.wikipedia.org/wiki/Boy_Bitten_by_a_Lizard,1,0,1,1,0,1,1,1,0,1,0,1,0,1
