title,link,en,de,fr,es,nl,ko,ceb,ar,sv,ru,hi,tr,zh,af
The Entombment (Michelangelo),https://en.wikipedia.org/wiki/The_Entombment_(Michelangelo),1,1,1,1,1,1,1,1,0,1,0,1,1,1
Michelangelo,https://en.wikipedia.org/wiki/Michelangelo,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Paul Signac,https://en.wikipedia.org/wiki/Paul_Signac,1,0,1,1,1,1,1,1,0,1,0,1,1,1
The Course of Empire (paintings),https://en.wikipedia.org/wiki/The_Course_of_Empire_(paintings),0,1,1,1,1,1,1,0,0,0,0,0,1,1
Christ Crucified (Goya),https://en.wikipedia.org/wiki/Christ_Crucified_(Goya),1,1,1,1,1,1,1,0,0,0,0,0,1,1
"I Am Half-Sick of Shadows, Said the Lady of Shalott","https://en.wikipedia.org/wiki/I_Am_Half-Sick_of_Shadows,_Said_the_Lady_of_Shalott",1,1,1,1,1,1,1,0,0,0,0,0,1,1
John William Waterhouse,https://en.wikipedia.org/wiki/John_William_Waterhouse,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Robert Bateman (artist),https://en.wikipedia.org/wiki/Robert_Bateman_(artist),0,0,1,1,0,1,1,1,1,0,0,1,1,1
Elisabeth Jerichau-Baumann,https://en.wikipedia.org/wiki/Elisabeth_Jerichau-Baumann,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Adoration of the Magi (Fra Angelico and Filippo Lippi),https://en.wikipedia.org/wiki/Adoration_of_the_Magi_(Fra_Angelico_and_Filippo_Lippi),0,0,1,1,0,1,1,1,1,1,0,1,1,1
Fra Angelico,https://en.wikipedia.org/wiki/Fra_Angelico,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Filippo Lippi,https://en.wikipedia.org/wiki/Filippo_Lippi,1,0,1,0,1,1,1,1,1,1,0,1,1,1
User:Coldcreation,https://en.wikipedia.org/wiki/User:Coldcreation,0,0,1,0,1,1,1,1,1,1,0,1,1,1
Gerard Seghers,https://en.wikipedia.org/wiki/Gerard_Seghers,0,0,1,0,1,1,1,1,0,1,0,1,1,1
The Four Continents,https://en.wikipedia.org/wiki/The_Four_Continents,1,0,1,0,1,1,1,1,0,1,0,1,1,1
Annunciation (Memling),https://en.wikipedia.org/wiki/Annunciation_(Memling),0,1,1,0,1,1,1,1,0,1,0,1,1,1
Hans Memling,https://en.wikipedia.org/wiki/Hans_Memling,0,0,1,0,1,1,1,1,0,1,0,1,0,1
Harvesters (Ancher),https://en.wikipedia.org/wiki/Harvesters_(Ancher),0,0,1,0,1,1,1,1,0,1,0,1,0,1
Anna Ancher,https://en.wikipedia.org/wiki/Anna_Ancher,1,0,1,1,0,0,1,1,1,1,0,1,0,1
Portrait of Antoine-Laurent Lavoisier and his Wife,https://en.wikipedia.org/wiki/Portrait_of_Antoine-Laurent_Lavoisier_and_his_Wife,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Jacques-Louis David,https://en.wikipedia.org/wiki/Jacques-Louis_David,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Spring Scattering Stars,https://en.wikipedia.org/wiki/Spring_Scattering_Stars,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Edwin Blashfield,https://en.wikipedia.org/wiki/Edwin_Blashfield,1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Travelling Companions,https://en.wikipedia.org/wiki/The_Travelling_Companions,0,0,1,1,1,1,1,1,1,1,0,1,1,1
Augustus Egg,https://en.wikipedia.org/wiki/Augustus_Egg,1,0,1,0,1,1,1,1,0,1,0,0,1,1
Self-Portrait with Halo and Snake,https://en.wikipedia.org/wiki/Self-Portrait_with_Halo_and_Snake,1,0,1,0,1,1,1,1,0,1,0,0,1,1
The Rape of the Daughters of Leucippus,https://en.wikipedia.org/wiki/The_Rape_of_the_Daughters_of_Leucippus,1,1,1,1,1,1,1,1,0,1,0,0,1,1
Madonna (Munch painting),https://en.wikipedia.org/wiki/Madonna_(Munch_painting),0,1,1,1,1,1,1,0,0,1,0,0,0,1
Edvard Munch,https://en.wikipedia.org/wiki/Edvard_Munch,1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Lute Player (Orazio Gentileschi),https://en.wikipedia.org/wiki/The_Lute_Player_(Orazio_Gentileschi),1,0,1,1,1,1,1,1,1,1,0,1,1,1
Orazio Gentileschi,https://en.wikipedia.org/wiki/Orazio_Gentileschi,0,0,1,1,0,1,1,1,0,1,0,0,0,1
Woman with a Parasol - Madame Monet and Her Son,https://en.wikipedia.org/wiki/Woman_with_a_Parasol_-_Madame_Monet_and_Her_Son,1,0,1,1,0,1,1,1,1,1,0,1,0,1
Dancer in a Café,https://en.wikipedia.org/wiki/Dancer_in_a_Caf%C3%A9,1,0,1,1,0,1,1,1,1,1,0,1,0,1
Jean Metzinger,https://en.wikipedia.org/wiki/Jean_Metzinger,1,0,1,0,1,1,1,1,0,1,0,0,1,1
Shearing the Rams,https://en.wikipedia.org/wiki/Shearing_the_Rams,1,0,1,0,1,1,1,1,0,1,0,0,1,1
Tom Roberts,https://en.wikipedia.org/wiki/Tom_Roberts,1,0,1,0,0,1,1,1,1,1,0,1,1,1
The Kiss (Munch painting),https://en.wikipedia.org/wiki/The_Kiss_(Munch_painting),1,1,1,1,0,1,1,1,1,1,0,1,1,1
Mound of Butter,https://en.wikipedia.org/wiki/Mound_of_Butter,1,1,1,1,0,1,1,1,1,1,0,1,1,1
Antoine Vollon,https://en.wikipedia.org/wiki/Antoine_Vollon,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Old Woman Frying Eggs,https://en.wikipedia.org/wiki/Old_Woman_Frying_Eggs,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Diego Velázquez,https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez,1,0,1,0,1,0,1,1,1,1,0,1,1,1
Interior with Young Woman Seen from the Back,https://en.wikipedia.org/wiki/Interior_with_Young_Woman_Seen_from_the_Back,0,0,1,0,1,0,1,1,1,1,0,1,1,1
Vilhelm Hammershøi,https://en.wikipedia.org/wiki/Vilhelm_Hammersh%C3%B8i,0,0,1,0,0,0,1,1,0,1,0,1,1,1
Proclamation of the Republic (Brazil),https://en.wikipedia.org/wiki/Proclamation_of_the_Republic_(Brazil),1,0,0,0,0,0,1,1,1,0,0,1,1,1
Benedito Calixto,https://en.wikipedia.org/wiki/Benedito_Calixto,1,0,1,1,0,0,1,1,1,1,0,1,1,1
"The Annunciation, with Saint Emidius","https://en.wikipedia.org/wiki/The_Annunciation,_with_Saint_Emidius",1,0,1,0,0,0,1,1,1,1,0,1,1,1
Carlo Crivelli,https://en.wikipedia.org/wiki/Carlo_Crivelli,1,0,1,1,0,0,1,1,0,1,0,0,1,1
Madonna of the Rose Garden,https://en.wikipedia.org/wiki/Madonna_of_the_Rose_Garden,1,0,1,1,0,0,1,1,0,1,0,0,1,1
When Will You Marry?,https://en.wikipedia.org/wiki/When_Will_You_Marry%3F,1,0,1,1,1,0,1,1,1,1,0,0,1,1
Adoration of the Magi (Gentile da Fabriano),https://en.wikipedia.org/wiki/Adoration_of_the_Magi_(Gentile_da_Fabriano),1,0,1,1,1,0,1,1,1,1,0,1,1,1
Gentile da Fabriano,https://en.wikipedia.org/wiki/Gentile_da_Fabriano,1,0,1,1,0,0,1,1,0,1,0,1,1,1
Christ Falling on the Way to Calvary,https://en.wikipedia.org/wiki/Christ_Falling_on_the_Way_to_Calvary,1,1,1,1,1,0,1,1,0,1,0,1,1,1
Ruby Loftus Screwing a Breech-ring,https://en.wikipedia.org/wiki/Ruby_Loftus_Screwing_a_Breech-ring,1,1,1,1,1,0,1,1,0,1,0,1,0,1
Laura Knight,https://en.wikipedia.org/wiki/Laura_Knight,1,0,1,1,0,1,1,1,0,1,0,1,0,1
The Three Musicians (painting),https://en.wikipedia.org/wiki/The_Three_Musicians_(painting),1,0,1,1,0,1,1,1,0,1,0,1,0,1
Manuel Osorio Manrique de Zúñiga,https://en.wikipedia.org/wiki/Manuel_Osorio_Manrique_de_Z%C3%BA%C3%B1iga,1,0,1,1,0,1,1,1,0,1,0,1,0,1
Girl in White,https://en.wikipedia.org/wiki/Girl_in_White,1,0,1,1,0,1,1,1,0,1,0,1,0,1
Alba Madonna,https://en.wikipedia.org/wiki/Alba_Madonna,1,0,1,1,0,1,1,1,0,1,0,1,0,1
Portrait of a Man with a Blue Chaperon,https://en.wikipedia.org/wiki/Portrait_of_a_Man_with_a_Blue_Chaperon,1,0,1,1,0,1,1,1,0,1,0,1,0,1
The Day Dream (painting),https://en.wikipedia.org/wiki/The_Day_Dream_(painting),1,0,1,1,0,1,1,1,1,1,0,1,0,1
Dante Gabriel Rossetti,https://en.wikipedia.org/wiki/Dante_Gabriel_Rossetti,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Portrait of Count Stanislas Potocki,https://en.wikipedia.org/wiki/Portrait_of_Count_Stanislas_Potocki,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Farmhouse in Provence,https://en.wikipedia.org/wiki/Farmhouse_in_Provence,1,0,1,1,1,1,1,1,1,1,0,1,1,1
"After the Bath, Woman Drying Herself","https://en.wikipedia.org/wiki/After_the_Bath,_Woman_Drying_Herself",0,0,1,1,1,1,1,1,1,1,0,1,1,1
Edgar Degas,https://en.wikipedia.org/wiki/Edgar_Degas,1,0,1,1,1,1,1,1,1,1,0,1,1,0
Plum Brandy,https://en.wikipedia.org/wiki/Plum_Brandy,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Édouard Manet,https://en.wikipedia.org/wiki/%C3%89douard_Manet,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Salting Madonna,https://en.wikipedia.org/wiki/Salting_Madonna,1,0,1,1,1,1,1,1,1,1,0,1,1,1
"The Entombment (Titian, 1559)","https://en.wikipedia.org/wiki/The_Entombment_(Titian,_1559)",1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Trinity and Mystic Pietà,https://en.wikipedia.org/wiki/The_Trinity_and_Mystic_Piet%C3%A0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Hans Baldung,https://en.wikipedia.org/wiki/Hans_Baldung,1,0,1,0,0,1,1,1,0,1,0,1,1,1
Perseus and Andromeda (Leighton),https://en.wikipedia.org/wiki/Perseus_and_Andromeda_(Leighton),1,0,1,1,0,1,1,1,0,1,0,1,1,1
Frederic Leighton,https://en.wikipedia.org/wiki/Frederic_Leighton,1,0,1,1,0,0,1,1,0,1,0,1,1,1
Dutch Ships in a Calm Sea,https://en.wikipedia.org/wiki/Dutch_Ships_in_a_Calm_Sea,1,0,1,1,0,0,1,1,0,1,0,1,1,1
Willem van de Velde the Younger,https://en.wikipedia.org/wiki/Willem_van_de_Velde_the_Younger,1,0,1,0,0,0,1,1,0,1,0,1,1,1
Gabrielle Cot,https://en.wikipedia.org/wiki/Gabrielle_Cot,1,0,1,1,0,0,1,1,0,1,0,1,1,1
William-Adolphe Bouguereau,https://en.wikipedia.org/wiki/William-Adolphe_Bouguereau,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Madonna of Loreto,https://en.wikipedia.org/wiki/Madonna_of_Loreto,1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Adoration of the Kings (Bruegel),https://en.wikipedia.org/wiki/The_Adoration_of_the_Kings_(Bruegel),1,1,1,1,1,1,1,1,1,1,0,1,1,1
Pieter Bruegel the Elder,https://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder,1,0,1,1,1,1,1,1,1,1,0,1,1,1
An Experiment on a Bird in the Air Pump,https://en.wikipedia.org/wiki/An_Experiment_on_a_Bird_in_the_Air_Pump,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Ancient Rome (painting),https://en.wikipedia.org/wiki/Ancient_Rome_(painting),1,1,1,1,1,1,1,1,1,1,0,1,1,1
Giovanni Paolo Panini,https://en.wikipedia.org/wiki/Giovanni_Paolo_Panini,1,0,1,0,0,1,1,1,0,1,0,1,1,1
Modern Rome,https://en.wikipedia.org/wiki/Modern_Rome,1,0,1,0,0,1,1,1,0,1,0,1,1,1
A Winter Scene with Skaters near a Castle,https://en.wikipedia.org/wiki/A_Winter_Scene_with_Skaters_near_a_Castle,1,0,1,0,0,1,1,1,0,1,0,1,1,1
Hendrick Avercamp,https://en.wikipedia.org/wiki/Hendrick_Avercamp,0,0,1,0,1,1,1,1,0,1,0,1,1,1
The Elder Sister,https://en.wikipedia.org/wiki/The_Elder_Sister,1,1,1,0,1,1,1,1,0,1,0,1,1,1
La Schiavona,https://en.wikipedia.org/wiki/La_Schiavona,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Pasteur's portrait by Edelfelt,https://en.wikipedia.org/wiki/Pasteur%27s_portrait_by_Edelfelt,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Albert Edelfelt,https://en.wikipedia.org/wiki/Albert_Edelfelt,1,0,1,0,0,1,1,1,1,1,0,1,1,1
User:Trycatch,https://en.wikipedia.org/wiki/User:Trycatch,0,0,1,0,0,1,1,1,1,0,0,1,1,1
The Fighting Temeraire,https://en.wikipedia.org/wiki/The_Fighting_Temeraire,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Summer Evening on Skagen's Southern Beach,https://en.wikipedia.org/wiki/Summer_Evening_on_Skagen%27s_Southern_Beach,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Ambrosius Bosschaert,https://en.wikipedia.org/wiki/Ambrosius_Bosschaert,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Portrait of a Lady with a Squirrel and a Starling,https://en.wikipedia.org/wiki/Portrait_of_a_Lady_with_a_Squirrel_and_a_Starling,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Hans Holbein the Younger,https://en.wikipedia.org/wiki/Hans_Holbein_the_Younger,1,0,1,1,1,1,1,1,1,1,0,0,1,1
The Roses of Heliogabalus,https://en.wikipedia.org/wiki/The_Roses_of_Heliogabalus,0,0,1,1,0,1,1,1,1,1,0,0,1,1
Lawrence Alma-Tadema,https://en.wikipedia.org/wiki/Lawrence_Alma-Tadema,1,0,1,1,1,1,1,1,0,1,0,1,0,1
A Session of the Painting Jury,https://en.wikipedia.org/wiki/A_Session_of_the_Painting_Jury,1,0,1,1,1,1,1,1,0,1,0,1,0,1
Henri Gervex,https://en.wikipedia.org/wiki/Henri_Gervex,1,0,1,0,0,1,1,1,0,1,0,1,0,1
Resurrection (Cecco del Caravaggio),https://en.wikipedia.org/wiki/Resurrection_(Cecco_del_Caravaggio),1,0,1,0,0,1,1,1,0,1,0,1,0,1
Cecco del Caravaggio,https://en.wikipedia.org/wiki/Cecco_del_Caravaggio,0,0,1,0,0,1,1,1,0,1,0,1,0,1
Tribuna of the Uffizi (painting),https://en.wikipedia.org/wiki/Tribuna_of_the_Uffizi_(painting),1,1,1,0,0,1,1,1,0,1,0,1,0,1
Johan Zoffany,https://en.wikipedia.org/wiki/Johan_Zoffany,1,0,1,0,0,1,1,1,0,1,0,1,0,1
Napoleon Crossing the Alps,https://en.wikipedia.org/wiki/Napoleon_Crossing_the_Alps,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Houses at Auvers,https://en.wikipedia.org/wiki/Houses_at_Auvers,1,1,1,1,1,1,1,1,1,1,0,1,1,1
King Lear,https://en.wikipedia.org/wiki/King_Lear,0,0,1,1,1,0,1,1,1,1,0,1,0,0
Edwin Austin Abbey,https://en.wikipedia.org/wiki/Edwin_Austin_Abbey,1,0,1,1,0,0,1,1,0,1,0,1,0,0
Adolf Mosengel,https://en.wikipedia.org/wiki/Adolf_Mosengel,0,0,1,1,0,0,1,1,0,1,0,1,0,0
The Mystical Nativity,https://en.wikipedia.org/wiki/The_Mystical_Nativity,1,0,1,1,0,0,1,1,0,1,0,1,0,0
Sandro Botticelli,https://en.wikipedia.org/wiki/Sandro_Botticelli,1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Kiss (Klimt),https://en.wikipedia.org/wiki/The_Kiss_(Klimt),0,1,1,1,1,1,1,0,1,1,0,1,1,1
Self-Portrait at the Age of 63,https://en.wikipedia.org/wiki/Self-Portrait_at_the_Age_of_63,1,1,1,1,1,1,1,0,1,1,0,1,1,1
Stitching the Standard,https://en.wikipedia.org/wiki/Stitching_the_Standard,1,0,1,1,0,1,1,1,1,1,0,1,1,1
The Stolen Kiss (Fragonard),https://en.wikipedia.org/wiki/The_Stolen_Kiss_(Fragonard),1,0,1,1,0,1,1,1,1,1,0,1,1,1
Jean-Honoré Fragonard,https://en.wikipedia.org/wiki/Jean-Honor%C3%A9_Fragonard,1,0,1,1,1,1,1,1,0,1,0,1,0,1
Mariana (Millais),https://en.wikipedia.org/wiki/Mariana_(Millais),1,0,1,1,1,1,1,1,0,1,0,1,0,1
John Everett Millais,https://en.wikipedia.org/wiki/John_Everett_Millais,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Religion saved by Spain,https://en.wikipedia.org/wiki/Religion_saved_by_Spain,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Still life,https://en.wikipedia.org/wiki/Still_life,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Osias Beert,https://en.wikipedia.org/wiki/Osias_Beert,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Garden at Sainte-Adresse,https://en.wikipedia.org/wiki/Garden_at_Sainte-Adresse,1,1,1,1,1,0,1,0,1,1,0,0,0,0
Eight Bells (painting),https://en.wikipedia.org/wiki/Eight_Bells_(painting),0,1,1,1,1,0,1,0,1,1,0,0,0,0
Winslow Homer,https://en.wikipedia.org/wiki/Winslow_Homer,1,0,1,1,0,0,1,1,0,1,0,1,1,0
Self-portrait at the age of 34,https://en.wikipedia.org/wiki/Self-portrait_at_the_age_of_34,1,0,1,1,0,0,1,1,0,1,0,1,1,0
The Conversion of Mary Magdalene,https://en.wikipedia.org/wiki/The_Conversion_of_Mary_Magdalene,1,0,1,1,0,0,1,1,0,1,0,1,1,0
Le Grand Canal,https://en.wikipedia.org/wiki/Le_Grand_Canal,1,0,1,1,0,0,1,1,0,1,0,1,1,0
Portrait of Pablo de Valladolid,https://en.wikipedia.org/wiki/Portrait_of_Pablo_de_Valladolid,1,0,1,1,0,0,1,1,0,1,0,1,1,0
Bedroom in Arles,https://en.wikipedia.org/wiki/Bedroom_in_Arles,1,1,1,1,0,0,1,1,1,1,0,1,1,0
Graziella,https://en.wikipedia.org/wiki/Graziella,1,1,1,1,0,0,1,1,1,1,0,1,1,0
Jules Joseph Lefebvre,https://en.wikipedia.org/wiki/Jules_Joseph_Lefebvre,1,0,1,1,0,1,1,1,1,1,0,1,1,0
Oath of the Horatii,https://en.wikipedia.org/wiki/Oath_of_the_Horatii,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Anne-Louis Girodet de Roussy-Trioson,https://en.wikipedia.org/wiki/Anne-Louis_Girodet_de_Roussy-Trioson,1,0,1,1,1,0,1,1,0,1,0,1,0,0
Diana and Endymion,https://en.wikipedia.org/wiki/Diana_and_Endymion,1,0,1,1,1,0,1,1,0,1,0,1,0,0
Francesco Solimena,https://en.wikipedia.org/wiki/Francesco_Solimena,1,0,1,1,1,1,1,1,0,1,0,1,0,0
The Torment of Saint Anthony,https://en.wikipedia.org/wiki/The_Torment_of_Saint_Anthony,1,1,1,1,1,1,1,1,0,1,0,1,0,0
Giuseppe Tominz,https://en.wikipedia.org/wiki/Giuseppe_Tominz,1,0,1,1,1,1,1,1,0,1,0,1,0,0
Waiting (Degas),https://en.wikipedia.org/wiki/Waiting_(Degas),0,0,1,1,1,1,1,1,0,1,0,1,0,0
A Man with a Quilted Sleeve,https://en.wikipedia.org/wiki/A_Man_with_a_Quilted_Sleeve,1,0,1,1,1,1,1,1,0,1,0,1,0,0
Rosa Bonheur (Anna Elizabeth Klumpke),https://en.wikipedia.org/wiki/Rosa_Bonheur_(Anna_Elizabeth_Klumpke),1,0,1,1,1,1,1,1,0,1,0,1,0,0
Anna Elizabeth Klumpke,https://en.wikipedia.org/wiki/Anna_Elizabeth_Klumpke,1,0,1,1,1,1,1,1,0,1,0,1,0,0
"Christ Crowned with Thorns (Bosch, London)","https://en.wikipedia.org/wiki/Christ_Crowned_with_Thorns_(Bosch,_London)",1,0,1,0,1,1,1,1,0,1,0,1,0,0
An Old Man and his Grandson,https://en.wikipedia.org/wiki/An_Old_Man_and_his_Grandson,1,0,1,1,1,1,1,1,0,1,0,1,0,0
Domenico Ghirlandaio,https://en.wikipedia.org/wiki/Domenico_Ghirlandaio,1,0,1,1,0,1,1,1,0,1,0,1,1,1
Portrait of a Man (Domenico Ghirlandaio),https://en.wikipedia.org/wiki/Portrait_of_a_Man_(Domenico_Ghirlandaio),1,0,1,1,0,1,1,1,0,1,0,1,1,1
Echo and Narcissus (Waterhouse painting),https://en.wikipedia.org/wiki/Echo_and_Narcissus_(Waterhouse_painting),1,0,1,1,1,1,1,1,0,1,0,1,1,1
Christ in the Desert,https://en.wikipedia.org/wiki/Christ_in_the_Desert,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Ivan Kramskoi,https://en.wikipedia.org/wiki/Ivan_Kramskoi,1,0,1,1,0,0,1,1,0,1,0,1,0,1
The Entombment (Bouts),https://en.wikipedia.org/wiki/The_Entombment_(Bouts),0,0,1,1,0,0,1,1,0,1,0,1,0,1
Dieric Bouts,https://en.wikipedia.org/wiki/Dieric_Bouts,0,0,1,1,1,0,1,1,0,1,0,1,1,1
The Baptism of Christ (Piero della Francesca),https://en.wikipedia.org/wiki/The_Baptism_of_Christ_(Piero_della_Francesca),1,0,1,1,1,0,1,1,0,1,0,1,1,1
Piero della Francesca,https://en.wikipedia.org/wiki/Piero_della_Francesca,1,0,1,1,1,1,1,1,0,1,0,0,1,1
Mr and Mrs Andrews,https://en.wikipedia.org/wiki/Mr_and_Mrs_Andrews,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Thomas Gainsborough,https://en.wikipedia.org/wiki/Thomas_Gainsborough,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Crucifixion with the Virgin and St John,https://en.wikipedia.org/wiki/Crucifixion_with_the_Virgin_and_St_John,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Hendrick ter Brugghen,https://en.wikipedia.org/wiki/Hendrick_ter_Brugghen,1,0,1,0,1,1,1,1,0,1,0,1,1,1
Vienna Diptych,https://en.wikipedia.org/wiki/Vienna_Diptych,0,0,1,1,1,1,1,1,0,1,0,1,1,1
Hugo van der Goes,https://en.wikipedia.org/wiki/Hugo_van_der_Goes,1,0,1,0,1,1,1,1,1,1,0,1,1,1
Pisa Altarpiece,https://en.wikipedia.org/wiki/Pisa_Altarpiece#Madonna_and_Child_with_Angels,0,0,0,0,1,1,1,1,1,1,0,1,1,1
Masaccio,https://en.wikipedia.org/wiki/Masaccio,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Mont Sainte-Victoire and the Viaduct of the Arc River Valley,https://en.wikipedia.org/wiki/Mont_Sainte-Victoire_and_the_Viaduct_of_the_Arc_River_Valley,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Allegory of Fortune,https://en.wikipedia.org/wiki/Allegory_of_Fortune,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Salvator Rosa,https://en.wikipedia.org/wiki/Salvator_Rosa,1,0,1,0,1,1,1,1,0,1,0,0,0,1
Wilton Diptych,https://en.wikipedia.org/wiki/Wilton_Diptych,0,0,1,1,1,1,1,0,0,1,0,0,0,1
User:SchroCat,https://en.wikipedia.org/wiki/User:SchroCat,0,0,1,1,1,1,1,0,0,1,0,0,0,1
Jupiter and Io,https://en.wikipedia.org/wiki/Jupiter_and_Io,1,1,1,1,1,1,1,1,0,1,0,0,0,1
Profile Portrait of a Young Lady,https://en.wikipedia.org/wiki/Profile_Portrait_of_a_Young_Lady,1,1,1,1,1,1,1,1,0,1,0,0,0,1
Piero del Pollaiolo,https://en.wikipedia.org/wiki/Piero_del_Pollaiolo,0,0,1,1,1,1,1,1,0,1,0,0,0,1
River Wensum,https://en.wikipedia.org/wiki/River_Wensum,1,0,1,1,1,1,1,1,1,1,0,0,0,1
John Crome,https://en.wikipedia.org/wiki/John_Crome,1,0,1,0,0,1,1,1,0,1,0,0,0,1
The Quai Saint-Michel and Notre-Dame,https://en.wikipedia.org/wiki/The_Quai_Saint-Michel_and_Notre-Dame,1,0,1,0,0,1,1,1,0,1,0,0,0,1
Maximilien Luce,https://en.wikipedia.org/wiki/Maximilien_Luce,1,0,1,1,1,1,1,1,0,1,0,0,0,1
The Yellow House,https://en.wikipedia.org/wiki/The_Yellow_House,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Van Gogh self-portrait (1889),https://en.wikipedia.org/wiki/Van_Gogh_self-portrait_(1889),1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Little Street,https://en.wikipedia.org/wiki/The_Little_Street,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Four Times of the Day (Joseph Vernet),https://en.wikipedia.org/wiki/Four_Times_of_the_Day_(Joseph_Vernet),0,1,1,1,1,1,1,1,1,1,0,1,1,1
Claude-Joseph Vernet,https://en.wikipedia.org/wiki/Claude-Joseph_Vernet,1,0,1,1,1,1,1,1,1,1,0,1,0,1
La Nymphe surprise,https://en.wikipedia.org/wiki/La_Nymphe_surprise,1,0,1,1,1,1,1,1,1,1,0,1,0,1
The Allegory of Faith,https://en.wikipedia.org/wiki/The_Allegory_of_Faith,1,0,1,1,1,1,1,1,1,1,0,1,0,1
King Gustav III of Sweden and His Brothers,https://en.wikipedia.org/wiki/King_Gustav_III_of_Sweden_and_His_Brothers,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Alexander Roslin,https://en.wikipedia.org/wiki/Alexander_Roslin,1,0,1,0,0,1,1,1,1,1,0,1,0,1
The Absinthe Drinker (Manet),https://en.wikipedia.org/wiki/The_Absinthe_Drinker_(Manet),0,0,1,0,0,1,1,1,1,1,0,1,0,1
Portrait of Dr. Gachet,https://en.wikipedia.org/wiki/Portrait_of_Dr._Gachet,1,1,1,1,1,0,1,1,1,1,0,1,1,1
L'Absinthe,https://en.wikipedia.org/wiki/L%27Absinthe,1,1,1,1,1,0,1,1,1,1,0,1,1,1
